
PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
11	1		running 	  3	8	0	4	10	0	0	0
12	1		runnable	  1	9	0	5	9	0	0	0
13	1		runnable	  1	8	0	6	8	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	47	0	0	0
2	0		sleeping	  0	0	0	47	0	0	0	0
3	2		runnable	  3	7	0	1	7	7	0	0
4	0		sleeping	  0	1	0	15	0	0	0	0
5	0		sleeping	  0	1	0	15	0	0	0	0
6	0		sleeping	  0	1	0	15	0	0	0	0
7	0		sleeping	  0	1	0	15	0	0	0	0
8	0		sleeping	  0	1	0	15	0	0	0	0
9	2		runnable	  3	5	0	2	8	5	0	0
10	2		runnable	  3	3	0	3	9	3	0	0
11	2		runnable	  3	1	0	4	10	1	0	0
12	1		running 	  2	9	0	5	10	0	0	0
13	1		runnable	  1	9	0	6	9	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	48	0	0	0
2	0		sleeping	  0	0	0	48	0	0	0	0
3	2		runnable	  3	8	0	1	7	8	0	0
4	0		runnable	  0	1	0	16	0	0	0	0
5	0		runnable	  0	1	0	16	0	0	0	0
6	0		runnable	  0	1	0	16	0	0	0	0
7	0		runnable	  0	1	0	16	0	0	0	0
8	0		runnable	  0	1	0	16	0	0	0	0
9	2		runnable	  3	6	0	2	8	6	0	0
10	2		runnable	  3	4	0	3	9	4	0	0
11	2		runnable	  3	2	0	4	10	2	0	0
12	1		running 	  3	9	0	5	11	0	0	0
13	1		runnable	  1	10	0	6	10	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	49	0	0	0
2	0		sleeping	  0	0	0	49	0	0	0	0
3	2		runnable	  3	9	0	1	7	9	0	0
4	0		sleeping	  0	1	0	17	0	0	0	0
5	0		sleeping	  0	1	0	17	0	0	0	0
6	0		sleeping	  0	1	0	17	0	0	0	0
7	0		sleeping	  0	1	0	17	0	0	0	0
8	0		sleeping	  0	1	0	17	0	0	0	0
9	2		runnable	  3	7	0	2	8	7	0	0
10	2		runnable	  3	5	0	3	9	5	0	0
11	2		runnable	  3	3	0	4	10	3	0	0
12	2		runnable	  3	1	0	5	11	1	0	0
13	1		running 	  2	10	0	6	11	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	50	0	0	0
2	0		sleeping	  0	0	0	50	0	0	0	0
3	2		runnable	  3	10	0	1	7	10	0	0
4	0		runnable	  0	1	0	18	0	0	0	0
5	0		runnable	  0	1	0	18	0	0	0	0
6	0		runnable	  0	1	0	18	0	0	0	0
7	0		runnable	  0	1	0	18	0	0	0	0
8	0		runnable	  0	1	0	18	0	0	0	0
9	2		runnable	  3	8	0	2	8	8	0	0
10	2		runnable	  3	6	0	3	9	6	0	0
11	2		runnable	  3	4	0	4	10	4	0	0
12	2		runnable	  3	2	0	5	11	2	0	0
13	1		running 	  3	10	0	6	12	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	51	0	0	0
2	0		sleeping	  0	0	0	51	0	0	0	0
3	2		running 	  4	10	0	1	7	11	0	0
4	0		sleeping	  0	1	0	19	0	0	0	0
5	0		sleeping	  0	1	0	19	0	0	0	0
6	0		sleeping	  0	1	0	19	0	0	0	0
7	0		sleeping	  0	1	0	19	0	0	0	0
8	0		sleeping	  0	1	0	19	0	0	0	0
9	2		runnable	  3	9	0	2	8	9	0	0
10	2		runnable	  3	7	0	3	9	7	0	0
11	2		runnable	  3	5	0	4	10	5	0	0
12	2		runnable	  3	3	0	5	11	3	0	0
13	2		runnable	  3	1	0	6	12	1	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	52	0	0	0
2	0		sleeping	  0	0	0	52	0	0	0	0
3	2		running 	  5	10	0	1	7	12	0	0
4	0		runnable	  0	1	0	20	0	0	0	0
5	0		runnable	  0	1	0	20	0	0	0	0
6	0		runnable	  0	1	0	20	0	0	0	0
7	0		runnable	  0	1	0	20	0	0	0	0
8	0		runnable	  0	1	0	20	0	0	0	0
9	2		runnable	  3	10	0	2	8	10	0	0
10	2		runnable	  3	8	0	3	9	8	0	0
11	2		runnable	  3	6	0	4	10	6	0	0
12	2		runnable	  3	4	0	5	11	4	0	0
13	2		runnable	  3	2	0	6	12	2	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	53	0	0	0
2	0		sleeping	  0	0	0	53	0	0	0	0
3	2		running 	  6	10	0	1	7	13	0	0
4	0		runnable	  0	2	0	21	0	0	0	0
5	0		runnable	  0	2	0	21	0	0	0	0
6	0		runnable	  0	2	0	21	0	0	0	0
7	0		runnable	  0	2	0	21	0	0	0	0
8	0		runnable	  0	2	0	21	0	0	0	0
9	2		runnable	  3	11	0	2	8	11	0	0
10	2		runnable	  3	9	0	3	9	9	0	0
11	2		runnable	  3	7	0	4	10	7	0	0
12	2		runnable	  3	5	0	5	11	5	0	0
13	2		runnable	  3	3	0	6	12	3	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	54	0	0	0
2	0		sleeping	  0	0	0	54	0	0	0	0
3	2		running 	  7	10	0	1	7	14	0	0
4	0		runnable	  0	3	0	22	0	0	0	0
5	0		runnable	  0	3	0	22	0	0	0	0
6	0		runnable	  0	3	0	22	0	0	0	0
7	0		runnable	  0	3	0	22	0	0	0	0
8	0		runnable	  0	3	0	22	0	0	0	0
9	2		runnable	  3	12	0	2	8	12	0	0
10	2		runnable	  3	10	0	3	9	10	0	0
11	2		runnable	  3	8	0	4	10	8	0	0
12	2		runnable	  3	6	0	5	11	6	0	0
13	2		runnable	  3	4	0	6	12	4	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	55	0	0	0
2	0		sleeping	  0	0	0	55	0	0	0	0
3	3		runnable	  7	1	0	1	7	14	1	0
4	0		sleeping	  0	3	0	23	0	0	0	0
5	0		sleeping	  0	3	0	23	0	0	0	0
6	0		sleeping	  0	3	0	23	0	0	0	0
7	0		sleeping	  0	3	0	23	0	0	0	0
8	0		sleeping	  0	3	0	23	0	0	0	0
9	2		running 	  4	12	0	2	8	13	0	0
10	2		runnable	  3	11	0	3	9	11	0	0
11	2		runnable	  3	9	0	4	10	9	0	0
12	2		runnable	  3	7	0	5	11	7	0	0
13	2		runnable	  3	5	0	6	12	5	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	56	0	0	0
2	0		sleeping	  0	0	0	56	0	0	0	0
3	3		runnable	  7	2	0	1	7	14	2	0
4	0		runnable	  0	1	0	24	0	0	0	0
5	0		runnable	  0	1	0	24	0	0	0	0
6	0		runnable	  0	1	0	24	0	0	0	0
7	0		runnable	  0	1	0	24	0	0	0	0
8	0		runnable	  0	1	0	24	0	0	0	0
9	2		running 	  5	12	0	2	8	14	0	0
10	2		runnable	  3	12	0	3	9	12	0	0
11	2		runnable	  3	10	0	4	10	10	0	0
12	2		runnable	  3	8	0	5	11	8	0	0
13	2		runnable	  3	6	0	6	12	6	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	57	0	0	0
2	0		sleeping	  0	0	0	57	0	0	0	0
3	3		runnable	  7	3	0	1	7	14	3	0
4	0		runnable	  0	2	0	25	0	0	0	0
5	0		runnable	  0	2	0	25	0	0	0	0
6	0		runnable	  0	2	0	25	0	0	0	0
7	0		runnable	  0	2	0	25	0	0	0	0
8	0		runnable	  0	2	0	25	0	0	0	0
9	2		running 	  6	12	0	2	8	15	0	0
10	2		runnable	  3	13	0	3	9	13	0	0
11	2		runnable	  3	11	0	4	10	11	0	0
12	2		runnable	  3	9	0	5	11	9	0	0
13	2		runnable	  3	7	0	6	12	7	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	58	0	0	0
2	0		sleeping	  0	0	0	58	0	0	0	0
3	3		runnable	  7	4	0	1	7	14	4	0
4	0		runnable	  0	3	0	26	0	0	0	0
5	0		runnable	  0	3	0	26	0	0	0	0
6	0		runnable	  0	3	0	26	0	0	0	0
7	0		runnable	  0	3	0	26	0	0	0	0
8	0		runnable	  0	3	0	26	0	0	0	0
9	2		running 	  7	12	0	2	8	16	0	0
10	2		runnable	  3	14	0	3	9	14	0	0
11	2		runnable	  3	12	0	4	10	12	0	0
12	2		runnable	  3	10	0	5	11	10	0	0
13	2		runnable	  3	8	0	6	12	8	0	0
